Neighborhood,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Cour Carrée du Louvre,48.8603598795578,2.338542938232421,Pedestrian Plaza
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,La Vénus de Milo (Vénus de Milo),48.85994342850432,2.3372340202331543,Exhibit
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Place du Louvre,48.859840999999996,2.340822,Plaza
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pont des Arts,48.85856468168775,2.3376350104808807,Bridge
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Musée du Louvre,48.86084691113991,2.336440086364746,Art Museum
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Église Saint-Germain-l'Auxerrois (Église Saint-Germain l'Auxerrois),48.85951991540482,2.341305613517761,Church
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Guy Savoy,48.85708501994181,2.3388068135574938,French Restaurant
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Coffee Crêpes,48.85884059518823,2.3408023161365143,Coffee Shop
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Monnaie de Paris,48.85683338028305,2.3390582159751068,Museum
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Place Dauphine,48.856639931294744,2.342362403869629,Plaza
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Chez Nous,48.85582321728785,2.340271085661046,Wine Bar
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Palais Royal,48.863235767714464,2.3371267318725586,Historic Site
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Comédie-Française,48.863087901186134,2.336611747741699,Theater
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Buly 1803,48.85714639586888,2.3350392718358397,Cosmetics Shop
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Vestige de la Forteresse du Louvre,48.86157701632968,2.3335077597365377,Historic Site
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Cour Napoléon,48.861171596228466,2.33508825302124,Plaza
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Place du Palais Royal,48.86252338167935,2.3366876356542288,Plaza
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Ze Kitchen Galerie,48.85510110130317,2.341297271887015,Restaurant
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Jardin du Palais Royal,48.86494061245833,2.3377275466918945,Garden
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,LEGO® Store,48.86181771883298,2.3471906738969803,Toy / Game Store
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,L'Hotel,48.85637674082885,2.33519300383645,Hotel
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Prescription Cocktail Club,48.854921000000004,2.337768,Cocktail Bar
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Hôtel d'Aubusson,48.854728835992326,2.339505240371817,Hotel
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Place des Victoires,48.86575937310978,2.341219220887502,Plaza
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Place Fürstenberg,48.85431057662302,2.335733324289322,Plaza
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,LouLou,48.86280381272633,2.333500385284424,Italian Restaurant
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Little Breizh,48.85323350489557,2.3378657230160544,Breton Restaurant
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Grom,48.85333828172593,2.3369565498410108,Ice Cream Shop
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Place Saint-Germain-des-Prés,48.854183343318546,2.3335111141204834,Plaza
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Cosí,48.854123,2.336865,Sandwich Place
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Maison Sauvage,48.85374384095544,2.337993110279558,French Restaurant
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Chez Le Libanais,48.85328503500075,2.341673076152801,Lebanese Restaurant
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Centre Pompidou – Musée National d'Art Moderne,48.86072970727395,2.351660414040774,Art Museum
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Udon Bistro Kunitoraya (Kunitoraya),48.865884035205355,2.336782068014145,Udon Restaurant
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,L'Avant Comptoir,48.852038831641075,2.3388125002384186,Wine Bar
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Huguette,48.85327532824133,2.337110638618469,Seafood Restaurant
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Place Saint-Michel,48.853344747670214,2.3438747802055206,Plaza
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Place de l'Hôtel de Ville – Esplanade de la Libération,48.856924757269134,2.351411815667368,Plaza
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Boutique du Centre Pompidou,48.860705743053124,2.3523616790771484,Souvenir Shop
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Galerie d'Art Primitif Africain        Art Gallery l'Oeil et la Main     Expert,48.857997,2.3280819999999998,Art Gallery
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Passage du Grand Cerf,48.86476,2.349486,Pedestrian Plaza
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Shakespeare & Company,48.85256839809226,2.3470958322286606,Bookstore
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Rue Montorgueil,48.86604470753487,2.3470938205718994,Pedestrian Plaza
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,& Other Stories,48.8652293767804,2.344749051903664,Women's Store
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Castor Club,48.85197948108793,2.342466032109098,Cocktail Bar
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Breizh Café,48.851638,2.338804,Creperie
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Cathédrale Notre-Dame de Paris,48.85312443201169,2.3495614528656006,Church
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Jugetsudo,48.851802707286176,2.3372256998014507,Tea Room
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Grand Bassin Rond,48.86287968744176,2.3292946815490723,Fountain
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Redd,48.86623685868873,2.3477715657647504,Wine Bar
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Musée d'Orsay,48.859992838132534,2.3263871669769287,Art Museum
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Shiso Burger,48.85337636669056,2.345302104949951,Burger Joint
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Compagnie des Vins Surnaturels,48.85174017415818,2.33640631097926,Wine Bar
